"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","519","STITCH","201","386.0"
"*","520","STITCH","159","390.0"
"*","521","STITCH","161","390.0"
"*","522","STITCH","162","392.0"
"*","523","STITCH","167","392.0"
"*","524","STITCH","168","394.0"
"*","525","STITCH","201","394.0"
"*","526","STITCH","173","396.0"
"*","527","STITCH","198","396.0"
"*","528","STITCH","185","398.0"
"*","529","STITCH","193","398.0"
"*","530","JUMP","193","398.0"
"*","531","STITCH","357","302.0"
"*","532","STITCH","371","302.0"
"*","533","STITCH","356","304.0"
"*","534","STITCH","372","304.0"
"*","535","STITCH","356","308.0"
"*","536","STITCH","374","308.0"
"*","537","STITCH","374","310.0"
"*","538","STITCH","375","310.0"
"*","539","STITCH","368","312.0"
"*","540","STITCH","371","312.0"
"*","541","STITCH","370","316.0"
"*","542","STITCH","371","316.0"
"*","543","STITCH","370","318.0"
"*","544","STITCH","375","318.0"
"*","545","STITCH","368","320.0"
"*","546","STITCH","375","320.0"
"*","547","STITCH","366","324.0"
"*","548","STITCH","375","324.0"
"*","549","STITCH","364","326.0"
"*","550","STITCH","365","326.0"
"*","551","STITCH","364","328.0"
"*","552","STITCH","372","328.0"
"*","553","STITCH","359","330.0"
"*","554","STITCH","371","330.0"
"*","555","STITCH","353","332.0"
"*","556","STITCH","369","332.0"
"*","557","STITCH","350","334.0"
"*","558","STITCH","368","334.0"
"*","559","STITCH","350","336.0"
"*","560","STITCH","368","336.0"
"*","561","STITCH","350","338.0"
"*","562","STITCH","364","338.0"
"*","563","STITCH","350","340.0"
"*","564","STITCH","364","340.0"
"*","565","STITCH","362","342.0"
"*","566","STITCH","363","342.0"
"*","567","STITCH","356","344.0"
"*","568","STITCH","360","344.0"
"*","569","JUMP","360","344.0"
"*","570","STITCH","285","299.0"
"*","571","STITCH","312","299.0"
"*","572","STITCH","288","301.0"
"*","573","STITCH","308","301.0"
"*","574","STITCH","285","303.0"
"*","575","STITCH","311","303.0"
"*","576","STITCH","268","305.0"
"*","577","STITCH","311","305.0"
"*","578","STITCH","248","307.0"
"*","579","STITCH","291","307.0"
"*","580","STITCH","211","309.0"
"*","581","STITCH","289","309.0"
"*","582","STITCH","205","311.0"
"*","583","STITCH","289","311.0"
"*","584","JUMP","289","311.0"
"*","585","STITCH","277","269.0"
"*","586","STITCH","284","269.0"
"*","587","STITCH","269","271.0"
"*","588","STITCH","312","271.0"
"*","589","STITCH","286","273.0"
"*","590","STITCH","333","273.0"
"*","591","STITCH","269","275.0"
